Kod;nazwa;wykształcenie;Wartość i precyzja;Rok;wartosc;Jednostka miary;Atrybut
1400000;MAZOWIECKIE;ogółem;wartość liczbowa;2023;1131;tys. osób;
1400000;MAZOWIECKIE;wyższe;wartość liczbowa;2023;144;tys. osób;
1400000;MAZOWIECKIE;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;248;tys. osób;
1400000;MAZOWIECKIE;średnie ogólnokształcące;wartość liczbowa;2023;151;tys. osób;
1400000;MAZOWIECKIE;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;244;tys. osób;
1400000;MAZOWIECKIE;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;344;tys. osób;
1465000;powiat Warszawa;ogółem;wartość liczbowa;2023;503;tys. osób;
1465000;powiat Warszawa;wyższe;wartość liczbowa;2023;143;tys. osób;
1465000;powiat Warszawa;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;139;tys. osób;
1465000;powiat Warszawa;średnie ogólnokształcące;wartość liczbowa;2023;90;tys. osób;
1465000;powiat Warszawa;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;42;tys. osób;
1465000;powiat Warszawa;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;88;tys. osób;
1600000;OPOLSKIE;ogółem;wartość liczbowa;2023;277;tys. osób;
1600000;OPOLSKIE;wyższe;wartość liczbowa;2023;28;tys. osób;
1600000;OPOLSKIE;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;65;tys. osób;
1600000;OPOLSKIE;średnie ogólnokształcące;wartość liczbowa;2023;23;tys. osób;
1600000;OPOLSKIE;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;81;tys. osób;
1600000;OPOLSKIE;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;80;tys. osób;
1661000;powiat Opole;ogółem;wartość liczbowa;2023;42;tys. osób;
1661000;powiat Opole;wyższe;wartość liczbowa;2023;11;tys. osób;
1661000;powiat Opole;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;10;tys. osób;
1661000;powiat Opole;średnie ogólnokształcące;wartość liczbowa;2023;0;tys. osób;x
1661000;powiat Opole;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;0;tys. osób;x
1661000;powiat Opole;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;0;tys. osób;x
1800000;PODKARPACKIE;ogółem;wartość liczbowa;2023;678;tys. osób;
1800000;PODKARPACKIE;wyższe;wartość liczbowa;2023;70;tys. osób;
1800000;PODKARPACKIE;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;148;tys. osób;
1800000;PODKARPACKIE;średnie ogólnokształcące;wartość liczbowa;2023;79;tys. osób;
1800000;PODKARPACKIE;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;189;tys. osób;
1800000;PODKARPACKIE;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;193;tys. osób;
1863000;powiat Rzeszów;ogółem;wartość liczbowa;2023;71;tys. osób;
1863000;powiat Rzeszów;wyższe;wartość liczbowa;2023;15;tys. osób;
1863000;powiat Rzeszów;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;18;tys. osób;
1863000;powiat Rzeszów;średnie ogólnokształcące;wartość liczbowa;2023;16;tys. osób;
